Abi
Abla
Acaba
Acı	Paincy
Açık
Acıkmak
Acil
Açmak
Ad	Name
Adam
Adet
Adım
Adres
Ağaç
Ağır
Ağız	Mouth
Ağlamak	To cry
	Family
Akıl	Mind
Akıllı	Smart, clever
Akmak	To flow
Akşam	Evening
Alan	Area
Alışmak	To adjust
veriş yapmak	To go shopping
Allah	God
Almak	To take
Altı	Six
Altın	Gold
ış	Sixty
Ama	But
Amaç	Purpose
Amca	Uncle (father's brother)
An	Moment
Anlam	Meaning
Anlamak	To understand
Anlaşılmak	To be understood
Anlatmak	To explain
Anne	Mother
Apartman	Apartment building
Araba	Car
Araç	Tool, vehicle
Aralık	December
Aramak	To search for, to call (on the phone)
Araştırmak	To research
Arı	Bee
Arkadaş	Friend
Armut	Pear
k	Anymore (these days)
Artmak	To increase
Asıl	Actual
Aşırı	Extreme
Aşk	Romantic love
Asker	Soldier
	Never
nda	Actually
At	Horse
Ateş	Fire
Atlamak	To jump
Atmak	To throw
Ay	Moon, month
Ayak	Foot
Ayakkabı	Shoe
Ayı	Bear
Ayırmak	To separate
Ayna	Mirror
Aynı	Similar
Ayrı	Separate
Ayrılmak	To be separated
Az	Little
Baba	Dad
Bacak	Leg
Bağırmak	To shout
Bağlamak	To tie, to connect
Bahçe	Garden
Bakan	Minister (government)
Bakış	View
Bakmak	To look
k	Fish
Banka	Bank
Bant	Tape, band, strip
Banyo	Bathroom (with a shower or bath)
ak	Glass (cup)
Barış	Peace (not at war)
Baş	Head
Başarı	Success
Basit	Basic, simple
Başka	Other
Başkan	President, chairman
Baskı	Pressure
Başlamak	To start
Basmak	To step, to press
Batı	West
Batmak	To sink
Battaniye	Blanket
Bayrak	Flag
Bayram	Holiday
Bazen	Sometimes
Bazı	Some
Bebek	Baby
Bedava	Free
Beden	Body (or clothing size)
Beğenmek	To like
r	Single (not married)
Beklemek	To wait
Bel	Waist, lower back
Belediye	Municipality
Belge	Document
Belki	Maybe
Belli	Clear, obvious
Benzemek	To look like
Benzin	Gasoline
Beraber	Together
Beş	Five
Bey	Mr.
Beyaz	White
Beyin	Brain
Bez	Cloth (or diaper)
Bıçak	Knife
Biçim	Shape
Bilet	Ticket
Bilgi	Information
Bilgisayar	Computer
Bilim	Science
Bilmek	To know
Bin	Thousand
Bina	Building
ek	To ride, to get on (a bus)
Bir	One
Bırakmak	To leave something
z	A little
ok	A lot
Biri	Someone, one of them
Birinci	First
Birisi	Someone
Birkaç	A few
Birlikte	Together
Bitirmek	To finish (something)
Bitki	Plant
Bitmek	To be finished
Böcek	Bug
Boğaz	Throat
Bölge	Region
Bölmek	To divide
Bölüm	Division, chapter
Boru	Pipe
Boş	Empty
Boşaltmak	To empty (something)
Boşanmak	To get divorced
Boy	Size
Boyamak	To paint, to dye (something)
Boyun	Neck
Bozuk	Broken (stopped working)
Bozulmak	To be broken (stop working)
Bugün	Today
Bulmak	To find
Buluşmak	To meet up with
Burada	Here, at/in this place
Burası	This place
